,date,store,impressions,clicks,total cost,revenue_channel_1,revenue_channel_2,revenue_channel_3,revenue_channel_other
45,2019-10-07,Store C,75657,1470,1145.23,4028.9800000000005,1459.13,420.0,618.74
46,2019-01-03,Store A,440412,8592,3615.3200000000006,14616.04,6977.46,1004.54,2815.33
47,2022-02-22,Store D,25786,1420,1453.9,11456.129999999997,739.79,471.95,2636.71
48,2022-04-18,Store A,279850,7375,3959.63,23895.129999999997,5740.49,1521.77,1622.2
49,2021-12-19,Store C,39411,766,903.74,2020.88,1263.5900000000001,420.0,563.9
50,2020-01-21,Store D,134230,2649,1423.25,420.0,458.96999999999997,420.0,420.0
51,2020-02-19,Store C,137923,2094,1558.58,4224.95,1308.8999999999999,449.90000000000003,761.85
52,2020-07-04,Store C,96399,1659,1147.83,2867.4699999999993,1372.23,444.95,507.93
53,2019-03-04,Store C,149630,2236,1489.7,2650.6399999999994,1988.1400000000003,420.0,1051.23
54,2021-06-23,Store A,246396,8960,5018.94,19296.49,20314.56,1169.72,5354.64
55,2021-06-29,Store B,54230,5383,5912.110000000001,11194.439999999999,1255.11,954.4,831.6499999999999
56,2021-07-24,Store D,33422,1329,1341.83,1284.47,598.25,4076.62,789.79
57,2020-11-28,Store B,47483,4761,5024.43,7011.12,859.64,1320.2,676.74
58,2020-12-13,Store B,68327,5501,5391.09,9756.53,716.6800000000001,1138.3799999999999,800.5
59,2021-05-10,Store D,38124,2200,2191.31,5330.1,745.8500000000001,1046.29,3312.91
60,2020-11-08,Store C,45454,1021,967.72,2587.6499999999996,1905.4099999999999,420.0,558.89
61,2022-08-06,Store C,28442,687,897.1800000000001,1161.19,604.84,420.0,505.85
62,2022-08-20,Store B,48531,3325,4279.030000000001,6131.68,734.55,628.65,671.5
63,2022-01-07,Store A,279853,7361,3940.57,8715.23,2547.67,509.90000000000003,1066.8300000000002
64,2022-03-24,Store D,25594,1753,2151.03,4537.52,7821.6,420.0,5366.189999999999
65,2021-08-18,Store A,263617,8544,4830.82,35595.46,8628.17,2139.6800000000003,1439.24
66,2021-10-01,Store C,65895,1197,1214.77,3165.42,1668.4300000000003,420.0,464.95
67,2021-09-18,Store D,20356,1114,1202.31,2422.87,420.0,525.9000000000001,1106.5700000000002
68,2021-10-20,Store C,67193,1311,1238.93,7435.78,1254.4,522.44,927.1899999999999
69,2021-10-09,Store C,39854,855,916.1700000000001,2587.1,922.03,569.9499999999999,533.85
70,2021-10-13,Store A,254507,7343,4078.28,20703.56,14404.169999999998,779.8000000000001,4951.47
71,2019-12-11,Store C,73511,1434,1148.01,2801.12,617.8499999999999,579.9499999999999,1984.7
72,2020-12-21,Store C,59161,1252,1134.1499999999999,2832.74,1220.7,602.8499999999999,420.0
73,2022-03-16,Store B,34701,3148,3656.2199999999993,5497.86,1499.2000000000003,1860.75,655.75
74,2022-01-19,Store B,37906,3601,4045.08,6732.9,984.55,1509.85,967.59
75,2021-05-11,Store A,288597,10000,5454.46,19680.2,12471.129999999997,2874.22,2032.46
76,2021-02-23,Store A,409667,10686,4975.26,27420.8,5345.99,666.39,3174.91
77,2021-04-10,Store D,27550,1867,1872.8,1080.48,623.75,495.5,2297.4
78,2019-11-07,Store D,135004,2561,1683.7799999999997,490.94,420.0,420.0,420.0
79,2019-12-04,Store A,364752,9028,4559.43,28150.38,12523.66,2156.06,2168.3199999999997
80,2019-10-19,Store B,87714,4291,3090.37,3783.77,1116.28,596.85,712.59
81,2019-01-31,Store B,98966,5420,3839.2700000000004,8060.029999999999,925.54,955.51,1167.97
82,2019-04-12,Store C,70716,1527,1212.74,3070.76,1201.42,797.8499999999999,962.8
83,2021-06-01,Store A,313511,11003,5922.0,34244.84,18181.4,1631.59,1972.5299999999997
84,2020-05-15,Store B,184631,8657,5731.890000000001,13658.52,1746.56,570.84,1195.9099999999999
85,2020-05-18,Store A,845273,18592,7072.6,35422.89,13281.21,767.65,2789.45
86,2019-08-22,Store A,422090,9583,4261.639999999999,13429.47,5685.33,3180.04,2330.63
87,2019-09-17,Store B,76275,4468,3280.86,5061.73,1169.34,779.67,1026.19
88,2019-10-07,Store D,173320,2905,1774.62,420.0,1597.7,420.0,420.0
89,2019-10-10,Store B,81260,3923,3026.0,4551.48,930.3199999999999,875.6,1004.16
90,2022-02-27,Store B,39927,3545,4093.21,6271.800000000001,729.75,1035.3999999999999,980.45
91,2019-01-12,Store C,124864,1649,1078.1399999999999,1600.96,720.6,420.0,765.25
92,2019-06-12,Store D,141268,2635,1858.4899999999998,599.85,479.90000000000003,519.95,734.7
93,2021-12-11,Store D,16158,761,1072.27,1994.94,474.93,459.95,1776.56
94,2021-08-21,Store D,27994,1329,1288.95,1275.47,420.0,661.8000000000001,663.68
95,2021-08-23,Store B,61512,4859,5842.83,9156.38,1752.65,1149.2,1523.1
96,2022-01-17,Store B,45671,4530,5364.0,9068.06,939.48,1005.24,702.6999999999999
97,2020-07-15,Store D,92055,3204,2067.9900000000002,420.0,3165.94,420.0,420.0
98,2019-12-28,Store C,104260,1655,1001.7,1879.29,672.78,518.9,485.95
99,2019-12-03,Store D,85347,2523,1627.46,420.0,420.0,420.0,420.0
100,2020-04-19,Store D,534142,5782,2614.89,420.0,514.95,420.0,420.0
101,2020-03-16,Store D,135920,2549,1802.46,420.0,537.67,420.0,420.0
102,2020-09-23,Store C,122094,2010,1692.1800000000003,4565.54,2094.52,640.8,2495.02
103,2021-02-02,Store A,412916,11113,4900.7,16870.2,15435.29,734.79,7548.9400000000005
104,2021-06-06,Store A,290396,9646,4762.1,33202.52,3086.42,954.8900000000001,5655.4
105,2021-07-13,Store A,278631,9115,5128.41,21561.96,6861.51,504.89000000000004,3526.25
106,2019-12-09,Store C,75568,1536,1128.42,3000.94,978.54,428.9,609.9499999999999
107,2020-11-23,Store D,29952,1956,1679.4900000000002,624.9,1139.45,420.0,458.95000000000005
108,2020-11-30,Store B,105708,8657,7303.68,10716.3,1704.05,960.3999999999999,1302.0
109,2020-12-15,Store B,62962,4943,4455.51,8226.98,1049.32,1093.4,990.45
110,2022-07-16,Store B,34593,2716,3182.7300000000005,6242.65,948.44,496.85,527.8
111,2022-08-27,Store A,194195,5767,3954.04,10341.95,987.49,420.0,1316.81
112,2019-03-13,Store A,314120,8716,3709.83,15504.66,5865.9,1758.9100000000003,7254.32
113,2021-10-05,Store D,20010,1194,1352.1299999999999,3349.17,689.75,1462.69,2693.71
114,2021-10-22,Store A,237033,7054,3881.15,24123.86,6236.32,479.85,2057.86
115,2022-06-05,Store A,190427,6158,3775.1400000000003,7505.54,1751.06,420.0,2502.27
116,2021-10-01,Store D,18410,1014,1140.6,2441.19,1097.6000000000001,1165.68,2920.21
117,2022-01-05,Store C,75900,1469,1460.21,2860.12,1168.06,521.7,1342.85
118,2022-02-05,Store D,23081,1235,1301.13,2050.6,420.0,514.94,1745.49
119,2022-02-08,Store C,71272,1442,1480.0299999999997,3640.6,2827.8200000000006,420.0,534.9
120,2020-06-10,Store C,174560,3017,1849.27,4544.28,3220.63,849.64,1240.8500000000001
121,2019-02-19,Store A,384219,9703,3913.3,16132.15,4496.599999999999,1360.66,4482.8
122,2020-02-14,Store A,352848,8563,3683.1,25558.509999999995,3565.08,1270.45,1929.46
123,2021-03-18,Store C,90092,1956,1746.3,4894.17,1643.3899999999999,420.0,599.9
124,2019-10-10,Store C,69980,1438,1189.08,5024.55,2516.0,455.95,723.6199999999999
125,2022-02-20,Store A,337599,7885,3842.26,23515.26,3980.05,439.95,1162.73
126,2022-02-23,Store B,42266,3199,3387.11,5468.289999999999,916.4499999999999,1320.1,557.9
127,2022-05-02,Store A,288524,7668,4292.41,21659.71,5973.85,22292.17,4433.1900000000005
128,2019-01-20,Store C,129014,1673,1034.01,1758.74,867.69,644.85,1132.8
129,2019-02-23,Store B,100859,5295,3861.36,6320.389999999999,940.84,1596.44,1007.03
130,2020-05-29,Store C,183772,2652,1644.21,9343.2,2727.14,420.0,904.6500000000001
131,2020-09-12,Store A,656499,12569,4982.1,22149.13,2857.33,2434.4900000000002,2829.72
132,2020-09-13,Store D,72729,2011,1568.57,420.0,420.0,420.0,420.0
133,2020-05-01,Store D,381424,5189,2416.54,420.0,584.9499999999999,420.0,420.0
134,2022-03-10,Store C,88428,1443,1634.95,4141.03,3170.19,461.9,437.95000000000005
135,2021-03-18,Store B,64043,5520,5213.95,8624.64,1196.3899999999999,1452.15,1196.29
136,2020-07-17,Store B,132192,7352,5354.610000000001,9271.94,1452.79,731.7,1135.2
137,2022-05-09,Store B,37485,3478,4380.81,7008.6,1041.25,1198.3,728.45
138,2022-05-06,Store A,224778,5993,3415.0300000000007,12613.61,4030.8,794.85,1599.83
139,2022-07-01,Store C,40737,747,940.81,1284.4499999999998,2094.77,461.9,549.9499999999999
140,2022-08-15,Store B,55776,3566,4841.57,6460.92,1253.95,569.85,758.49
141,2019-02-26,Store C,91029,1777,1243.1,3059.5,1206.51,767.8,660.8
142,2021-01-29,Store B,59132,4721,4510.94,9672.6,838.6199999999999,575.85,1545.19
143,2021-04-26,Store D,36113,2534,2294.75,6181.310000000001,420.0,1426.38,5154.049999999999
144,2019-10-13,Store C,59359,1066,876.3,1899.54,818.85,454.95,2813.6900000000005
145,2019-10-17,Store A,375984,8997,4105.900000000001,23590.129999999997,10078.42,1071.5700000000002,771.6899999999999
146,2021-08-28,Store D,27600,1337,1337.8899999999999,1943.33,709.3399999999999,937.2,1390.58
147,2022-07-06,Store D,21556,1064,1156.08,3532.4400000000005,873.76,1073.81,2806.88
148,2022-08-05,Store D,30962,1086,1194.8,3084.3600000000006,854.9200000000001,1027.72,3231.3099999999995
149,2021-09-26,Store B,49212,3491,3977.8499999999995,7591.65,736.6499999999999,635.75,683.7
150,2020-12-27,Store D,20190,1552,1352.8999999999999,547.75,474.95,439.95,996.69
151,2019-03-28,Store C,78807,1741,1354.17,2136.3399999999997,1270.66,420.0,1999.8
152,2019-01-01,Store C,77612,1319,842.45,1485.35,1396.6,420.0,509.90000000000003
153,2019-01-31,Store D,181315,2480,1500.19,420.0,435.98999999999995,420.0,420.0
154,2020-02-22,Store C,98466,1619,1151.02,1749.18,738.69,420.0,420.0
155,2021-01-18,Store D,33578,2114,1960.01,3284.44,1335.35,420.0,4110.6
156,2019-07-27,Store D,109679,2048,1747.26,420.0,420.0,420.0,420.0
157,2020-06-28,Store B,157708,8379,6642.81,13672.77,1208.9,899.91,885.6
158,2020-05-18,Store C,305590,3912,2203.29,5460.24,3090.4399999999996,900.9000000000001,496.95
159,2019-09-10,Store B,93991,4913,3503.2299999999996,5525.609999999999,1172.0900000000001,775.65,1080.95
160,2019-10-09,Store C,69990,1486,1170.8500000000001,3201.93,857.67,420.0,464.95
161,2019-04-13,Store B,97708,5420,3483.67,4633.32,884.35,992.1000000000001,727.5400000000001
162,2020-01-31,Store C,175534,1812,1152.97,1892.0499999999997,4006.64,574.9,499.85
163,2020-08-01,Store A,699496,14507,5560.66,35124.74,1990.4,927.44,2672.0699999999997
164,2020-10-05,Store D,49878,2332,1750.66,475.95,442.73,420.0,420.0
165,2022-02-27,Store A,346969,7800,3700.91,17503.67,6114.83,420.0,2019.88
166,2022-03-03,Store B,39573,3340,3658.95,7012.529999999999,488.93,836.5999999999999,1002.5
167,2022-05-01,Store C,60488,996,1049.23,2076.0899999999997,569.85,420.0,556.85
168,2019-04-27,Store C,53233,1051,916.81,1162.19,641.75,528.39,582.9
169,2019-06-27,Store B,85061,5157,3586.92,5482.83,1774.95,1305.0299999999997,3080.94
170,2021-08-16,Store A,290704,8707,4880.33,18631.79,10581.57,2492.19,1463.48
171,2021-08-12,Store C,83499,1394,1374.86,5061.34,1026.36,1399.65,1049.6299999999999
172,2019-09-02,Store B,102298,5733,4173.74,7928.62,1112.32,907.55,2244.4
173,2019-03-13,Store C,113224,1934,1430.81,3762.12,759.95,420.0,1986.29
174,2019-03-21,Store A,317784,8758,3724.93,25065.6,4526.35,1039.6399999999999,1612.58
175,2021-04-22,Store A,314676,11016,5820.6,39252.56,8371.65,1140.8799999999999,6157.529999999999
176,2020-11-29,Store C,48495,1095,1026.3899999999999,2301.54,469.95,429.95,449.95
177,2022-09-06,Store B,35212,2758,2991.46,5886.75,996.2,595.65,753.99
178,2022-01-20,Store C,69083,1502,1460.97,4956.78,1165.49,464.95,443.95000000000005
179,2021-02-08,Store C,71560,1897,1554.94,5632.200000000001,1217.1000000000001,758.85,2352.45
180,2021-11-21,Store C,33344,770,830.28,1974.1,554.8000000000001,420.0,789.7
181,2019-12-07,Store D,61165,1898,1280.9199999999998,420.0,420.0,420.0,439.95
182,2021-05-14,Store D,36785,1659,1557.31,2796.84,3579.8599999999997,704.35,4010.33
183,2021-05-18,Store C,68423,1452,1427.1100000000001,5129.96,1547.45,420.0,913.07
184,2021-03-25,Store C,94936,1816,1671.4699999999998,4449.099999999999,1426.67,459.90000000000003,503.7900000000001
185,2021-04-02,Store B,54069,5298,5374.65,8941.21,1235.1399999999999,767.65,1047.04
186,2020-11-10,Store C,68645,1536,1400.66,5439.75,1560.49,420.0,1199.8
187,2020-07-26,Store D,104758,3018,1974.66,544.95,420.0,420.0,420.0
188,2022-06-09,Store A,199750,6062,3555.4399999999996,14157.24,19797.96,420.0,3616.67
189,2019-10-19,Store D,118421,2268,1495.95,420.0,554.94,420.0,420.0
190,2020-12-29,Store C,116540,1847,1413.25,6804.23,1918.45,435.49,724.85
191,2020-12-30,Store D,25218,1800,1607.51,2035.52,7282.06,1569.83,3064.22
192,2019-04-01,Store A,417338,9953,3999.04,25633.090000000004,7412.99,2803.66,1487.29
193,2020-03-01,Store A,416909,10098,3848.29,19010.35,3896.93,1203.58,2761.5700000000006
194,2019-02-01,Store B,91900,5320,4057.4,5798.25,1526.12,577.79,852.2
195,2020-02-12,Store D,170886,2661,1524.5499999999997,420.0,609.9,420.0,420.0
196,2019-05-17,Store B,88592,5176,3494.0700000000006,4337.4400000000005,1016.19,717.55,692.45
197,2019-08-15,Store D,214925,2737,1618.81,420.0,420.0,420.0,420.0
198,2020-08-09,Store A,797847,15821,6072.93,40232.25,4052.84,1573.6799999999998,5499.139999999999
199,2019-09-09,Store A,465324,10335,4607.84,24815.29,4817.15,2385.52,1485.25
200,2021-05-21,Store B,45693,4283,4382.150000000001,8142.470000000001,863.75,945.45,558.8000000000001
201,2021-01-10,Store B,72796,6111,6217.960000000001,13831.52,841.6899999999999,1176.2,629.7
202,2020-06-06,Store C,134549,2306,1364.1399999999999,2601.75,1105.3999999999999,420.0,473.9
203,2021-12-07,Store D,18574,1091,1245.65,8498.49,420.0,664.9000000000001,4508.22
204,2021-08-19,Store B,46777,4466,5294.58,9715.21,1856.44,929.4499999999999,960.51
205,2020-02-02,Store C,138861,1289,848.12,1579.73,1322.45,542.07,659.85
206,2020-04-12,Store D,373240,4802,2328.8900000000003,526.8399999999999,420.0,420.0,420.0
207,2020-03-31,Store A,457836,8898,3802.13,8694.11,1155.5800000000002,607.6,4925.7
208,2020-07-07,Store D,131008,4347,2517.75,446.9,824.67,420.0,420.0
209,2020-11-03,Store A,327061,8052,4045.59,12046.190000000002,9405.38,2002.5700000000002,1112.6000000000001
210,2019-11-09,Store D,98872,1992,1491.4699999999998,579.9,519.9,420.0,420.0
211,2019-03-10,Store C,115412,1737,1222.0700000000002,3146.1900000000005,640.7900000000001,420.0,420.0
212,2021-06-22,Store D,41173,1943,1745.87,3818.8999999999996,676.85,753.34,1537.54
213,2020-08-31,Store C,194979,2688,1947.6600000000003,7653.85,3184.6799999999994,498.95000000000005,1059.19
214,2022-03-11,Store C,77076,1245,1462.2800000000002,3155.7299999999996,1321.63,1320.6999999999998,420.0
215,2020-08-24,Store A,804121,15504,6561.279999999999,36791.92,10582.69,6320.1,3581.04
216,2019-12-19,Store C,69271,1434,1191.67,2087.8900000000003,725.8500000000001,420.0,754.85
217,2021-02-05,Store B,54481,4489,4765.07,7766.27,1571.84,863.5500000000001,646.75
218,2021-07-18,Store D,37760,1497,1422.0499999999997,2703.6099999999997,420.0,2093.28,1409.3600000000001
219,2020-08-25,Store D,72304,2272,1644.67,420.0,3118.5,420.0,420.0
220,2019-12-05,Store B,94713,4856,3291.85,3791.49,1755.44,568.85,938.45
221,2022-01-06,Store D,24364,1082,1049.95,5594.34,639.88,420.0,2964.13
222,2021-04-23,Store D,34051,1988,1804.3599999999997,9460.22,724.83,734.8000000000001,2964.12
223,2020-11-11,Store B,70224,5686,4963.52,9726.32,1008.3799999999999,940.45,700.6999999999999
224,2021-09-16,Store D,26009,1406,1274.65,3699.14,1079.75,1010.25,3561.9
225,2021-09-23,Store B,87931,3823,4333.25,7320.22,1012.49,1101.78,844.8000000000001
226,2021-10-11,Store A,204136,7647,4312.92,21854.2,5848.95,4968.41,3773.2299999999996
227,2022-06-13,Store A,195482,6336,3794.4,16351.8,1854.54,539.95,4848.59
228,2019-10-18,Store C,62031,1218,962.55,1564.54,1216.6,679.85,420.0
229,2020-12-25,Store C,10403,604,603.59,713.8,420.0,729.95,1016.6499999999999
230,2019-03-27,Store D,160871,2923,2057.24,1127.1399999999999,420.0,420.0,545.95
231,2019-03-28,Store B,118666,6102,4116.32,6288.57,980.21,576.65,866.24
232,2020-06-09,Store C,169104,2952,1846.17,5980.4,2296.61,5034.27,907.8
233,2019-02-19,Store B,103452,5246,3999.1800000000003,5961.84,1300.72,930.3,864.6899999999999
234,2019-02-04,Store B,102759,5637,4339.45,6051.12,1548.87,818.4000000000001,1274.24
235,2020-03-13,Store A,338621,9408,4332.179999999999,14967.970000000001,11798.5,1199.73,3441.8
236,2021-11-28,Store A,142935,6230,3418.56,17969.36,2314.87,1106.1699999999998,747.75
237,2021-03-20,Store C,72498,1567,1396.23,4502.91,814.49,458.89000000000004,1274.8999999999999
238,2019-06-01,Store C,53941,1353,987.86,1576.1,1050.48,457.95000000000005,693.0
239,2019-07-29,Store A,436949,11534,4925.06,18469.09,10295.54,902.6800000000001,3160.3
240,2019-10-08,Store A,374920,8941,3998.79,21197.9,2853.35,2308.53,4481.21
241,2022-02-22,Store A,411207,9327,4838.96,20743.06,15758.02,1055.4099999999999,9304.49
242,2022-04-23,Store A,225406,5546,2903.35,16080.28,959.6799999999998,734.79,1937.48
243,2019-02-16,Store C,81848,1727,1209.58,2934.55,1475.49,441.95,678.75
244,2021-05-20,Store B,47946,4350,4486.4,7969.120000000001,1377.69,915.54,787.59
245,2019-01-26,Store D,136488,2335,1606.4,479.95,573.12,420.0,420.0
246,2021-08-14,Store B,60164,3934,4862.73,7617.05,859.6000000000001,1432.0,859.55
247,2021-08-15,Store A,257058,7919,4088.39,16045.85,2004.15,674.94,1223.23
248,2020-02-04,Store D,183851,2697,1401.25,420.0,3159.9400000000005,420.0,420.0
249,2022-05-04,Store C,58762,1072,1325.8799999999999,3273.38,1215.3,576.8,1184.85
250,2020-08-20,Store D,73497,2304,1509.15,420.0,1253.84,420.0,420.0
251,2019-11-17,Store B,91994,4563,3499.93,5229.69,736.35,994.35,899.3000000000001
252,2020-04-17,Store D,467902,5637,2686.5,474.95,8013.360000000001,420.0,420.0
253,2020-03-15,Store A,400239,10183,4296.1,17084.02,9381.47,1276.71,1636.01
254,2021-09-24,Store B,51298,3394,3716.16,5468.9400000000005,1072.39,829.6500000000001,677.6800000000001
255,2021-04-30,Store C,77168,1592,1507.42,3752.4400000000005,1379.3000000000002,634.9499999999999,444.95
256,2021-07-26,Store B,51379,4996,6055.460000000001,10386.5,1804.0,1065.35,956.35
257,2021-07-02,Store D,36836,1685,1721.37,3903.0200000000004,459.95,1170.1000000000001,5135.31
258,2021-07-29,Store C,73262,1406,1353.48,3744.1899999999996,1207.38,519.9,643.45
259,2021-07-21,Store D,41624,1650,1477.84,4682.47,654.94,990.9299999999998,14280.67
260,2020-08-25,Store A,759118,14434,6119.06,23255.81,12218.57,1721.6,4406.13
261,2019-12-14,Store D,64892,1703,1233.96,420.0,485.95,420.0,420.0
262,2020-12-05,Store C,87594,1595,1376.98,6331.97,1887.1800000000003,707.8,609.85
263,2022-06-04,Store D,18397,958,1026.6499999999999,709.7,745.6999999999999,484.95,4815.3
264,2022-06-13,Store B,44218,3510,4468.32,7873.74,1294.0,680.65,738.5500000000001
265,2022-06-29,Store C,47434,892,1101.53,5740.72,843.02,420.0,884.9
266,2022-08-25,Store B,40835,2780,3921.47,3476.16,5679.76,501.9,799.3000000000001
267,2022-08-03,Store C,38453,985,1194.83,1654.02,838.7,489.95,834.85
268,2019-10-12,Store A,301618,7671,3550.27,17144.48,2873.8099999999995,722.9399999999999,2743.7800000000007
269,2019-10-26,Store B,88281,4550,3375.65,5974.790000000001,1033.28,1240.3400000000001,968.29
270,2020-01-02,Store A,593967,11039,4629.53,16185.72,2225.85,1824.7,2463.4300000000003
271,2022-03-22,Store C,61727,1419,1697.78,3497.0699999999997,1779.38,646.8899999999999,965.9000000000001
272,2022-04-07,Store A,256927,6790,3712.8200000000006,11239.64,5090.38,420.0,5148.8
273,2022-04-10,Store B,35459,3272,4095.42,6824.66,693.75,832.55,600.8
274,2021-05-18,Store D,55465,2191,1991.16,3734.83,529.9,1870.9899999999998,4728.8
275,2021-05-24,Store C,56511,1493,1356.7000000000003,3841.3,1709.99,420.0,609.9
276,2021-03-29,Store C,85742,1817,1647.12,4526.56,1430.19,454.95,812.75
277,2019-08-07,Store D,258653,3312,2055.62,420.0,420.0,420.0,420.0
278,2019-09-12,Store C,61352,1307,1135.71,3643.83,706.6899999999999,420.0,594.9499999999999
279,2019-12-26,Store C,95371,1719,1175.78,2419.0,679.85,700.8500000000001,420.0
280,2019-11-20,Store D,79123,2160,1387.38,461.95,420.0,420.0,420.0
281,2020-02-26,Store D,121111,2279,1597.19,420.0,471.96,420.0,420.0
282,2020-04-08,Store A,617950,11802,4718.42,21469.62,6842.889999999999,916.79,2402.0
283,2019-01-13,Store B,122046,6474,4295.38,6870.94,959.27,719.53,990.19
284,2019-01-16,Store D,154000,2312,1704.24,420.0,507.9,473.84999999999997,420.0
285,2020-03-21,Store D,167788,2594,1719.91,420.0,890.05,420.0,420.0
286,2020-04-25,Store A,815090,15281,5176.7,21808.15,7072.61,744.64,6987.43
287,2019-05-08,Store C,58704,1349,1138.15,2830.46,1125.9299999999998,420.0,609.9
288,2019-06-14,Store A,325841,9283,4001.61,17597.55,11031.100000000002,1399.57,3019.52
289,2019-06-16,Store C,47847,1319,956.88,1706.4,682.8,420.0,591.7
290,2019-07-05,Store C,58506,1266,1042.35,2860.0300000000007,1501.35,547.9,1002.65
291,2021-12-20,Store D,17926,870,1077.6000000000001,3265.37,420.0,1520.35,3758.2
292,2021-12-03,Store D,16552,1049,1213.4,6635.49,420.0,483.75,3352.4699999999993
293,2019-04-08,Store B,129893,5669,4067.24,6644.46,1296.0,781.64,972.19
294,2019-02-19,Store D,153466,2689,1591.08,489.95,811.75,420.0,420.0
295,2020-06-19,Store D,119535,3209,1962.87,517.9,420.0,420.0,420.0
296,2019-03-01,Store A,317061,8148,3382.75,16885.38,5794.629999999999,1028.5900000000001,6451.98
297,2019-05-26,Store D,88549,2058,1629.24,420.0,420.0,420.0,420.0
298,2021-06-29,Store A,246948,9059,5117.05,23258.61,8125.78,1568.64,482.84999999999997
299,2020-01-11,Store A,450527,9255,3677.5,11071.73,3492.68,5892.46,735.74
300,2021-11-22,Store C,48718,1032,1080.3,2881.7799999999997,902.76,420.0,1079.95
301,2019-08-04,Store B,91697,5478,3895.46,6176.14,829.5400000000001,653.6500000000001,980.1300000000001
302,2020-02-04,Store B,149963,4640,3478.6900000000005,6000.23,1533.65,940.44,954.24
